ID,Title,"File Name","File Size",Caption,"Alt Text",Description,URL,"Date Uploaded",Type
11722,line-1,line-1-scaled.webp,"4 KB",,,,https://mybrandplease.com/wp-content/uploads/2025/04/line-1-scaled.webp,"April 15, 2025",image/webp
11721,line,line-1.png,"55 KB",,,,https://mybrandplease.com/wp-content/uploads/2025/04/line-1.png,"April 15, 2025",image/png
11720,line,line-scaled.webp,"4 KB",,,,https://mybrandplease.com/wp-content/uploads/2025/04/line-scaled.webp,"April 15, 2025",image/webp
11719,line,line.png,"55 KB",,,,https://mybrandplease.com/wp-content/uploads/2025/04/line.png,"April 15, 2025",image/png
11717,Click-Here-to-View-our-Reviews-on-Trust-Pilot,Click-Here-to-View-our-Reviews-on-Trust-Pilot.webp,"10 KB",,,,https://mybrandplease.com/wp-content/uploads/2025/04/Click-Here-to-View-our-Reviews-on-Trust-Pilot.webp,"April 15, 2025",image/webp
11718,Click-Here-to-View-our-Reviews-on-Google,Click-Here-to-View-our-Reviews-on-Google.webp,"8 KB",,,,https://mybrandplease.com/wp-content/uploads/2025/04/Click-Here-to-View-our-Reviews-on-Google.webp,"April 15, 2025",image/webp
11716,"Click Here to View our Reviews on Trust Pilot",Click-Here-to-View-our-Reviews-on-Trust-Pilot.png,"26 KB",,,,https://mybrandplease.com/wp-content/uploads/2025/04/Click-Here-to-View-our-Reviews-on-Trust-Pilot.png,"April 15, 2025",image/png
11715,"Click Here to View our Reviews on Google",Click-Here-to-View-our-Reviews-on-Google.png,"34 KB",,,,https://mybrandplease.com/wp-content/uploads/2025/04/Click-Here-to-View-our-Reviews-on-Google.png,"April 15, 2025",image/png
11708,final_logo_1_37ee31bf-a041-4af1-9b0e-d86fd4b2da83,final_logo_1_37ee31bf-a041-4af1-9b0e-d86fd4b2da83-scaled.webp,"46 KB",,"Total integrity_mybrandplease.com",,https://mybrandplease.com/wp-content/uploads/2025/04/final_logo_1_37ee31bf-a041-4af1-9b0e-d86fd4b2da83-scaled.webp,"April 9, 2025",image/webp
11707,Etsy-min,Etsy-min.webp,"9 KB",,,,https://mybrandplease.com/wp-content/uploads/2025/04/Etsy-min.webp,"April 9, 2025",image/webp
11706,Walmart_logo.svg-min,Walmart_logo.svg-min.png,"12 KB",,walmart_mybrandplease.com,,https://mybrandplease.com/wp-content/uploads/2025/04/Walmart_logo.svg-min.png,"April 9, 2025",image/png
11705,TJ_Maxx-min,TJ_Maxx-min.png,"8 KB",,tjmax_mybrandplease.com,,https://mybrandplease.com/wp-content/uploads/2025/04/TJ_Maxx-min.png,"April 9, 2025",image/png
11704,"the detox market-min",the-detox-market-min.png,"5 KB",,detox__mybrandplease.com,,https://mybrandplease.com/wp-content/uploads/2025/04/the-detox-market-min.png,"April 9, 2025",image/png
11703,target-min,target-min.png,"24 KB",,target_mybrandplease.com,,https://mybrandplease.com/wp-content/uploads/2025/04/target-min.png,"April 9, 2025",image/png
11702,Saks_Fifth_Avenue_Logo_-min,Saks_Fifth_Avenue_Logo_-min.png,"70 KB",,Saks_Fifth_Avenue_mybrandplease.com,,https://mybrandplease.com/wp-content/uploads/2025/04/Saks_Fifth_Avenue_Logo_-min.png,"April 9, 2025",image/png
11701,Nordstrom-logo-min,Nordstrom-logo-min.png,"25 KB",,nordstrom__mybrandplease.com,,https://mybrandplease.com/wp-content/uploads/2025/04/Nordstrom-logo-min.png,"April 9, 2025",image/png
11700,Macy&#8217;s_Logo-min,Macys_Logo-min.png,"57 KB",,Macy_mybrandplease.com,,https://mybrandplease.com/wp-content/uploads/2025/04/Macys_Logo-min.png,"April 9, 2025",image/png
11699,iherb-min,iherb-min.png,"12 KB",,iHerb_mybrandplease.com,,https://mybrandplease.com/wp-content/uploads/2025/04/iherb-min.png,"April 9, 2025",image/png
11698,Etsy-min,Etsy-min.png,"20 KB",,Etsy_mybrandplease.com,,https://mybrandplease.com/wp-content/uploads/2025/04/Etsy-min.png,"April 9, 2025",image/png
11697,EBay_mybrandplease.com,EBay_logo-min.png,"13 KB",,EBay,,https://mybrandplease.com/wp-content/uploads/2025/04/EBay_logo-min.png,"April 9, 2025",image/png
11696,desertcart_mybrandplease.com,desertcart-logo-min.png,"222 KB",,desertcart,,https://mybrandplease.com/wp-content/uploads/2025/04/desertcart-logo-min.png,"April 9, 2025",image/png
11695,Costco_Wholesale_mybrandplease.com,Costco_Wholesale_logo-min.png,"25 KB",,Costco_Wholesale,,https://mybrandplease.com/wp-content/uploads/2025/04/Costco_Wholesale_logo-min.png,"April 9, 2025",image/png
11694,"Amazon logo-min",Amazon-logo-min.png,"29 KB",,Amazon_mybrandplease.com,,https://mybrandplease.com/wp-content/uploads/2025/04/Amazon-logo-min.png,"April 9, 2025",image/png
11633,canada,canada.webp,"7 KB",,,,https://mybrandplease.com/wp-content/uploads/2025/02/canada.webp,"February 28, 2025",image/webp
11632,,canada.jpg,"22 KB",,"Canada Contact_MBP",,https://mybrandplease.com/wp-content/uploads/2025/02/canada.jpg,"February 28, 2025",image/jpeg
11592,"youtube Logo",youtube-Logo.png,"38 KB",,YouTube,,https://mybrandplease.com/wp-content/uploads/2025/01/youtube-Logo.png,"January 7, 2025",image/png
11591,"X Logo",X-Logo.png,"37 KB",,Twitter,,https://mybrandplease.com/wp-content/uploads/2025/01/X-Logo.png,"January 7, 2025",image/png
